 RNO,ID,TI,Author Keywords,Keywords Plus
603,153770,"KNOWLEDGE, PROBABILITY, AND ADVERSARIES",ALGORITHMS; RELIABILITY; THEORY; VERIFICATION; BYZANTINE GENERALS PROBLEM; COORDINATED ATTACK PROBLEM; GAME THEORY; KNOWLEDGE; PROBABILISTIC KNOWLEDGE; PROBABILITY,COMPLEXITY; PRIMALITY; SYSTEMS; TIME
604,,"MODAL NONMONOTONIC LOGICS - RANGES, CHARACTERIZATION, COMPUTATION",THEORY; EXPANSION; MCDERMOTT-DOYLE SCHEME; MODAL LOGICS; RANGE,AUTOEPISTEMIC LOGIC; DEFAULT
605,174131,RANDOM-WALKS ON WEIGHTED GRAPHS AND APPLICATIONS TO ONLINE ALGORITHMS,ALGORITHMS; THEORY; METRICAL TASKS; ONLINE ALGORITHMS; RANDOM WALKS; SERVER PROBLEM,
606,174132,RANDOMIZED ALGORITHMS AND PSEUDORANDOM NUMBERS,ALGORITHMS; THEORY; PSEUDORANDOM NUMBERS; RANDOMIZED ALGORITHMS; ROUTING; SEARCHING; SORTING,PARALLEL
607,174133,"UNIFICATION IN COMMUTATIVE THEORIES, HILBERT BASIS THEOREM, AND GROBNER BASES",ALGORITHMS; THEORY; EQUATIONAL REASONING; GROBNER BASES; UNIFICATION,ALGORITHM; ORDERINGS; ALGEBRAS; SET
608,174135,DISSOLUTION - MAKING PATHS VANISH,ALGORITHMS; THEORY; AUTOMATED DEDUCTION; INFERENCE; MATRIX METHODS; PATH; PRAWITZ ANALYSIS,RESOLUTION; MATRICES; MATINGS
609,174136,FACTORIZATION AND CIRCUIT IN THE CONNECTION METHOD,ALGORITHMS; THEORY; CIRCUIT; CONNECTION METHOD; FACTORIZATION; SEARCH SPACE PRUNING RULES,
610,174137,Z-MODULE REASONING - AN EQUALITY-ORIENTED PROVING METHOD WITH BUILT-IN RING AXIOMS,ALGORITHM; THEORY; VERIFICATION; EQUALITY REASONING; GAUSSIAN ELIMINATION; LINEARIZATION; PARAMODULATION; RING THEORY; Z-MODULE,TERM REWRITING-SYSTEMS; RESOLUTION; REDUCTIONS; SETS
611,174138,"CONSTANT DEPTH CIRCUITS, FOURIER-TRANSFORM, AND LEARNABILITY",ALGORITHMS; THEORY; VERIFICATION; AC(0) CIRCUITS; APPROXIMATION; BOOLEAN FUNCTIONS; CIRCUITS; COMPLEXITY; FOURIER TRANSFORM; HARMONIC ANALYSIS LEARNING,
612,174139,DYNAMIC INTERPOLATION SEARCH,ALGORITHMS; DYNAMIZATION; INTERPOLATION SEARCH; SEARCH TREE,
613,174140,UNION-COPY STRUCTURES AND DYNAMIC SEGMENT TREES,ALGORITHMS; DATA STRUCTURES; DYNAMIC SEGMENT TREE; UNION-COPY STRUCTURE; UNION-FIND STRUCTURE,SET UNION; LINEAR-TIME; ALGORITHMS
614,174141,DECIDABILITY OF BISIMULATION EQUIVALENCE FOR PROCESSES GENERATING CONTEXT-FREE LANGUAGES,THEORY; BISIMULATION SEMANTICS; CONTEXT-FREE GRAMMARS; CONTEXT-FREE LANGUAGES; PROCESS ALGEBRA; SIMPLE CONTEXT-FREE LANGUAGES,PROCESS ALGEBRA
615,174142,UNDECIDABLE OPTIMIZATION PROBLEMS FOR DATABASE LOGIC PROGRAMS,LANGUAGES; THEORY; BOUNDEDNESS; DATABASE; DATALOG; LOGIC PROGRAM; OPTIMIZATION; QUERY LANGUAGE; RECURSION; UNDECIDABILITY,RELATIONAL QUERIES; BOUNDEDNESS
616,174143,A PERFORMANCE EVALUATION OF SEVERAL PRIORITY POLICIES FOR PARALLEL-PROCESSING SYSTEMS,PERFORMANCE; THEORY; PRIORITY SCHEDULING; SPEEDUP,FORK-JOIN QUEUE; NORMALIZING CONSTANTS; SYNCHRONIZATION; NETWORKS; MULTIPROCESSORS
617,174144,TAKING RANDOM-WALKS TO GROW TREES IN HYPERCUBES,ALGORITHMS; DESIGN; THEORY; COMPUTATION TREES; HYPERCUBE ARCHITECTURES; ONLINE EMBEDDING; PROBABILISTIC ANALYSIS; RANDOM WALKS,
618,174145,RANDOMIZED PARALLEL ALGORITHMS FOR BACKTRACK SEARCH AND BRANCH-AND-BOUND COMPUTATION,ALGORITHMS; BACKTRACK SEARCH; BRANCH-AND-BOUND; DISTRIBUTED PARALLEL COMPUTATION,
619,151262,ON THE COMPLEXITY OF FUNCTIONS FOR RANDOM-ACCESS MACHINES,ALGORITHMS; THEORY; VERIFICATION; GREATEST COMMON DIVISOR; INDIRECT ADDRESSING; RANDOM ACCESS MACHINE; SORTING,
620,151263,RECONTAMINATION DOES NOT HELP TO SEARCH A GRAPH,ALGORITHMS; THEORY; GRAPH SEARCHING; NP-COMPLETENESS; PURSUIT AND EVASION,
621,151264,TAXONOMIC SYNTAX FOR 1ST-ORDER INFERENCE,ALGORITHMS; DEDUCTION; AUTOMATED REASONING; INFERENCE RULES; MACHINE INFERENCE; MECHANICAL VERIFICATION; POLYNOMIAL TIME ALGORITHMS; PROOF SYSTEMS; PROOF THEORY; THEOREM PROVING,
622,151265,AUTOMATIC RECOGNITION OF TRACTABILITY IN INFERENCE RELATIONS,ALGORITHMS; DEDUCTION; AUTOMATED REASONING; INFERENCE RULES; MACHINE INFERENCE; MECHANICAL VERIFICATION; POLYNOMIAL-TIME ALGORITHM; PROOF SYSTEMS; PROOF THEORY; THEOREM PROVING,
623,151266,THE COST OF CONSERVATIVE SYNCHRONIZATION IN PARALLEL DISCRETE EVENT SIMULATIONS,ALGORITHMS; PERFORMANCE; CONSERVATIVE SYNCHRONIZATION,PRIORITY-QUEUE
624,151267,SIMULATING SYNCHRONIZED CLOCKS AND COMMON KNOWLEDGE IN DISTRIBUTED SYSTEMS,ALGORITHMS; THEORY; VERIFICATION; CLOCK SYNCHRONIZATION; COMMON KNOWLEDGE; KNOWLEDGE-BASED PROTOCOLS; LOGICAL CLOCKS; SYNCHRONIZED CLOCKS; TIMESTAMPED COMMON KNOWLEDGE,COMMUNICATION; TIME; ENVIRONMENT; FAILURES; FAULTS
625,151268,EFFICIENT DECISION PROCEDURES FOR GRAPH PROPERTIES ON CONTEXT-FREE GRAPH LANGUAGES,ALGORITHMS; LANGUAGES; THEORY; HYPEREDGE REPLACEMENT SYSTEMS,HIERARCHICALLY DEFINED GRAPHS; CONNECTIVITY PROBLEMS; DECOMPOSABLE GRAPHS; GRAMMARS; ALGORITHMS; COMPLEXITY
626,151269,AN EXECUTION SLEEP SCHEDULING POLICY FOR SERVING AN ADDITIONAL JOB IN PRIORITY QUEUING-SYSTEMS,PERFORMANCE; THEORY; PERFORMANCE EVALUATION; PRIORITY QUEUES; RESPONSE TIMES; SERVER VACATION MODELS; TIME-LIMITED SERVICE; WAITING TIMES,M/G/1 QUEUE; VACATIONS; TIME; INTERRUPTIONS
627,138032,AN ALGORITHM FOR FINDING CANONICAL SETS OF GROUND REWRITE RULES IN POLYNOMIAL-TIME,ALGORITHMS; COMPLETION PROCEDURES; CONGRUENCE CLOSURE; EQUATIONAL LOGIC; TERM REWRITING,MATINGS
628,138036,PERFECTLY SECURE MESSAGE TRANSMISSION,ALGORITHMS; RELIABILITY; SECURITY; DISTRIBUTED COMPUTING; FAULT-TOLERANCE; PERFECTLY SECURE COMMUNICATION,
629,138040,GENERATING AUTOMATICALLY TUNED BITMAPS FROM OUTLINES,ALGORITHMS; FEATURE RECOGNITION; FONTS; LOVASZ BASIS REDUCTION; SCAN-CONVERSION,ALGORITHM; SHAPE
630,138042,THE MINIMUM CONSISTENT DFA PROBLEM CANNOT BE APPROXIMATED WITHIN ANY POLYNOMIAL,"ALGORITHMS, LANGUAGES, THEORY; APPROXIMATION ALGORITHMS; MINIMIZATION OF FINITE STATE MACHINES; NONAPPROXIMABILITY",REGULAR SETS; COMPLEXITY; QUERIES
631,138060,A FRAMEWORK FOR DEFINING LOGICS,ALGORITHMS; THEORY; VERIFICATION; FORMAL SYSTEMS; INTERACTIVE THEOREM PROVING; PROOF CHECKING; TYPED LAMBDA CALCULUS,NATURAL DEDUCTION; CONSTRUCTIONS; RESOLUTION
632,138061,LEARNING READ-ONCE FORMULAS WITH QUERIES,DESIGN; THEORY; EQUIVALENCE QUERIES; EXACT IDENTIFICATION; INTERPOLATION; MEMBERSHIP QUERIES; MU-FORMULAS; POLYNOMIAL-TIME LEARNING; READ-ONCE FORMULAS,ALGORITHMS
633,146588,AN OPTIMAL ONLINE ALGORITHM FOR METRICAL TASK SYSTEM,,SEQUENTIAL SEARCH HEURISTICS; SERVER PROBLEMS
634,146591,NONOBLIVIOUS HASHING,ALGORITHMS; THEORY; DICTIONARY PROBLEM; MODEL OF COMPUTATION; O(1) PROBE SEARCH; OBLIVIOUS AND NONOBLIVIOUS SEARCH; PERFECT HASHING; UPPER AND LOWER BOUNDS,IMPLICIT DATA STRUCTURE; SPARSE TABLE; TIME
635,146596,THE INTRACTABILITY OF BOUNDED PROTOCOLS FOR ONLINE SEQUENCE TRANSMISSION OVER NON-FIFO CHANNELS,CHANNELS; PROTOCOLS; DATA LINK; LOWER BOUND; NON-FIFO CHANNELS; SEQUENCE TRANSMISSION,
636,146599,FINITE STATE VERIFIERS .1. THE POWER OF INTERACTION,THEORY; ARTHUR-MERLIN GAMES; COMPLEXITY THEORY; FINITE STATE AUTOMATA; INTERACTIVE PROOF SYSTEMS; PROBABILISTIC AUTOMATA,COMPLEXITY
637,146601,FINITE STATE VERIFIERS .2. ZERO KNOWLEDGE,THEORY; ARTHUR-MERLIN GAMES; COMPLEXITY THEORY; FINITE STATE AUTOMATA; INTERACTIVE PROOF SYSTEMS; PROBABILISTIC AUTOMATA; ZERO KNOWLEDGE,
638,146605,ALGEBRAIC METHODS FOR INTERACTIVE PROOF SYSTEMS,THEORY; INTERACTIVE PROOF SYSTEMS,COMPLEXITY
639,146609,IP = PSPACE,ALGORITHMS; THEOREM; INTERACTIVE PROOFS; IP; PSPACE,
640,146613,IP = PSPACE - SIMPLIFIED PROOF,THEORY; INTERACTIVE PROOFS; PSPACE,
641,146616,ON THE CORRECTNESS OF ORPHAN MANAGEMENT ALGORITHMS,ALGORITHMS; LANGUAGES; RELIABILITY; THEORY; VERIFICATION; ARGUS; AVALON; ATOMIC ACTIONS; CAMELOT; INPUT-OUTPUT AUTOMATA; RECOVERY; SERIALIZABILITY,
642,146620,A VLSI DECOMPOSITION OF THE DEBRUIJN GRAPH,ALGORITHMS; DESIGN; THEORY; DEBRUIJN GRAPHS; GRAPH DECOMPOSITION,
643,146624,EFFICIENT DATA-FLOW ANALYSIS OF LOGIC PROGRAMS,ALGORITHMS; LANGUAGES; PERFORMANCE; PROGRAM ANALYSIS; PROLOG,PROLOG
644,,CORRECTION,,
645,146638,A LITTLE KNOWLEDGE GOES A LONG WAY - KNOWLEDGE-BASED DERIVATIONS AND CORRECTNESS PROOFS FOR A FAMILY OF PROTOCOLS,ALGORITHMS; RELIABILITY; THEORY; VERIFICATION; REASONING ABOUT KNOWLEDGE,COMMON KNOWLEDGE; DISTRIBUTED SYSTEMS; TEMPORAL LOGIC; VERIFICATION; SPECIFICATION; ENVIRONMENT
646,146643,THE PAGE NUMBER OF GENUS-G GRAPHS IS O(G),ALGORITHMS; THEORY; BOOK EMBEDDINGS; GRAPH GENUS; HOMOTOPY CLASSES; PLANAR NONPLANAR DECOMPOSITION; SURFACE EMBEDDINGS,
647,146646,AN EFFICIENT ALGORITHM FOR A TASK ALLOCATION PROBLEM,ALGORITHMS; DESIGN; MEASUREMENT; PERFORMANCE; BRANCH-AND-BOUND ALGORITHM; INTERPROCESSOR COMMUNICATION; LAGRANGEAN RELAXATION; QUADRATIC 0-1 OPTIMIZATION; TASK ALLOCATION,ASSIGNMENT; SYSTEMS
648,146650,SPARSE DYNAMIC-PROGRAMMING .1. LINEAR COST-FUNCTIONS,ALGORITHMS; THEORY; DYNAMIC PROGRAMMING; RECURRENCE; SEQUENCE ALIGNMENT; SPARSITY; TIME COMPLEXITY,COMMON SUBSEQUENCE PROBLEM; NUCLEIC-ACID; ALGORITHM; SEQUENCE; TIME
649,146656,SPARSE DYNAMIC-PROGRAMMING .2. CONVEX AND CONCAVE COST-FUNCTIONS,ALGORITHMS; THEORY; DYNAMIC PROGRAMMING; RECURRENCE; SEQUENCE ALIGNMENT; SPARSITY; TIME COMPLEXITY,RNA SECONDARY STRUCTURE; NUCLEIC-ACID; SEQUENCE; ALGORITHMS; TIME
650,146658,HOW FAIR IS FAIR QUEUING,DESIGN; MANAGEMENT; PERFORMANCE; THEORY; VERIFICATION,
651,146661,THE MEMBERSHIP PROBLEM IN APERIODIC TRANSFORMATION MONOIDS,,PARALLEL; VARIETIES; BANDS
652,146666,ON POINTERS VERSUS ADDRESSES,ALGORITHMS; THEORY; INCOMPRESSIBILITY; RANDOM ACCESS MEMORY; POINTER STRUCTURES,TIME; ALGORITHMS; BOUNDS
653,146670,LEARNING VIA QUERIES,INDUCTIVE INFERENCE; MACHINE LEARNING; LEARNING BY EXAMPLE; LEARNING VIA A TEACHER; OMEGA AUTOMATA,INDUCTIVE INFERENCE
654,146681,REASONING ABOUT SYSTEMS WITH MANY PROCESSES,ALGORITHMS; PERFORMANCE; THEORY; VERIFICATION,STATE CONCURRENT SYSTEMS; AUTOMATIC VERIFICATION; TEMPORAL LOGIC
655,146684,MONOTONE CIRCUITS FOR MATCHING REQUIRE LINEAR DEPTH,THEORY; CIRCUIT DEPTH; MONOTONE COMPUTATION; PERFECT MATCHING,COMPLEXITY
656,128750,A GENERAL-APPROACH TO CONNECTED-COMPONENT LABELING FOR ARBITRARY IMAGE REPRESENTATIONS,,SET UNION; ALGORITHM
657,128751,AN ANALYSIS OF THE LONGEST MATCH AND THE GREEDY HEURISTICS IN TEXT ENCODING,ALGORITHMS; THEORY; OPTIMAL AND HEURISTIC ENCODING; SHORTEST PATHS; TEXTUAL SUBSTITUTION,DATA-COMPRESSION; ALGORITHM
658,128752,NONLINEAR PATTERN-MATCHING IN TREES,ALGORITHMS; THEORY; NONLINEAR PATTERN MATCHING; REWRITING; NORMALIZATION; THEOREM PROVING,
659,128753,THE GENERATION OF BINARY-TREES AS A NUMERICAL PROBLEM,ALGORITHMS; BINARY TREES; GENERATION OF BINARY TREES,ORDERED TREES; ARY TREES; RANKING; HEIGHT
660,150945,WHAT CAN MACHINES KNOW - ON THE PROPERTIES OF KNOWLEDGE IN DISTRIBUTED SYSTEMS,THEORY; AXIOMS; DISTRIBUTED KNOWLEDGE; PROPERTIES OF KNOWLEDGE; REASONING ABOUT KNOWLEDGE,COMMON KNOWLEDGE; ENVIRONMENT
661,128754,THEOREM-PROVING USING EQUATIONAL MATINGS AND RIGID E-UNIFICATION,ALGORITHMS; LANGUAGES; THEORY; AUTOMATED THEOREM PROVING; EQUATIONAL REASONING; KNUTH-BENDIX PROCEDURE; NP-COMPLETENESS; MATINGS; UNIFICATION,ALGORITHM; SYSTEMS; LOGIC
662,,A 4 RUSSIANS ALGORITHM FOR REGULAR EXPRESSION PATTERN-MATCHING,ALGORITHMS; THEORY; FINITE AUTOMATON; 4 RUSSIANS PARADIGM; NODE LISTING; REGULAR EXPRESSION,
663,147511,AN OPTIMAL ALGORITHM FOR INTERSECTING LINE SEGMENTS IN THE PLANE,ALGORITHMS; THEORY,COUNTING GEOMETRIC INTERSECTIONS
664,147517,AN 0(LOG N) DETERMINISTIC PACKET-ROUTING SCHEME,ALGORITHM; DESIGN; PERFORMANCE; THEORY; DETERMINISTIC ROUTING; NETWORK ROUTING; PARALLEL COMPUTER,
665,147520,SYNTACTIC CHARACTERIZATION OF A SUBSET OF DOMAIN-INDEPENDENT FORMULAS,LANGUAGES; THEORY; RELATIONAL MODEL,
666,147524,INSTITUTIONS - ABSTRACT MODEL-THEORY FOR SPECIFICATION AND PROGRAMMING,LANGUAGE; THEORY,FUNDAMENTAL ALGEBRAIC TOOLS; SEMANTICS; CONSTRAINTS; IMPLEMENTATION; COMPLETENESS; COMPUTATION; FOUNDATIONS; VARIETIES
667,147527,"TERMINATION, DEADLOCK, AND DIVERGENCE",LANGUAGES; THEORY,ALGEBRA; ABSTRACTION; CONCURRENCY; TREES
668,147530,SINGLE-CLASS BOUNDS OF MULTICLASS QUEUING-NETWORKS,PERFORMANCE; BOUNDING ANALYSIS; PRODUCT FORM NETWORKS; QUEUING NETWORKS,
669,147537,HOW TO SIGN GIVEN ANY TRAPDOOR PERMUTATION,ALGORITHMS; SECURITY; THEORY; CRYPTOGRAPHY; DIGITAL SIGNATURES; RANDOMNESS; TRAPDOOR FUNCTIONS,ENCRYPTION
670,147546,LOWER BOUNDS FOR THE LOW HIERARCHY,THEORY; LOW HIERARCHY; LOWER BOUNDS; SPARSE SETS,NP REAL NUMBERS; COMPLEXITY CLASSES; KOLMOGOROV COMPLEXITY; SETS
